#          Chi2            h           Omegam           Omegak          
        30.3705        0.695756        0.195637        0.251022 
        30.8467        0.705475        0.200068        0.174589 
         29.773        0.699807        0.235925        0.162532 
         29.839        0.703899        0.210668        0.148851 
         30.134        0.704753        0.206964        0.148997 
        29.7169        0.700417        0.219214         0.14515 
        33.4314        0.705029        0.220192         0.18349 
        35.5241        0.700634        0.176418        0.168725 
        30.5398        0.701579        0.202263        0.227274 
        32.6019        0.699604         0.16555        0.228817 
        33.8002        0.706023        0.185633        0.238933 
        35.2089        0.709148        0.129096        0.246192 
        35.3566        0.708884         0.13489        0.223307 
        32.8896        0.706651        0.155176        0.266719 
        30.3954        0.701251        0.153048        0.312429 
        29.8875        0.696946        0.194224        0.265558 
        33.8586        0.699822        0.237001        0.217211 
        29.4395        0.702158        0.245797        0.105654 
        29.4042        0.699631        0.234081        0.138671 
        32.4303        0.699409        0.279418        0.115696 
        33.6442        0.697229        0.263319        0.183668 
        31.3538        0.706757        0.206193         0.15095 
        29.8683        0.702161        0.183444        0.222535 
        31.3961        0.701263        0.202794        0.142434 
         29.628         0.70189        0.214886        0.175451 
        30.0901        0.696961        0.232998         0.15987 
        29.7191        0.701621        0.198761         0.18355 
        30.6209        0.696525        0.247641        0.177736 
        29.7867        0.697525        0.219534        0.188061 
        30.2545        0.699369        0.248149        0.151892 
         29.449        0.699889        0.228739        0.163664 
        33.3074        0.699321        0.243706        0.203019 
        31.3288        0.706173        0.184143        0.163931 
        30.1333         0.69955         0.25038        0.142902 
        29.4924        0.702728         0.22969        0.110321 
        34.5119        0.697684        0.296112        0.115842 
        30.7438        0.695173        0.247492        0.155368 
        29.7563        0.701505        0.225789        0.164858 
        30.5021        0.701887        0.210819        0.131974 
        30.5505         0.70558        0.204891        0.130131 
        30.8953        0.700244        0.239919        0.172562 
        31.8455        0.696256        0.231234        0.138719 
        30.0519        0.705118        0.220725         0.10797 
        33.2609        0.705375        0.220058        0.177067 
        30.1705        0.699919        0.179777         0.22999 
        29.5821        0.702718        0.215176        0.144029 
        29.9132        0.699508        0.264519        0.106172 
        31.9253         0.69853        0.269024       0.0282552 
        31.3546        0.703838        0.279328       0.0550892 
         31.847        0.704592        0.250611        0.111054 
        30.8699        0.707175        0.228606       0.0587936 
        29.5346        0.700349        0.282862       0.0409936 
